year,site,mean_dayl.s_Jan,mean_srad.wm2_Jan,mean_tmax.c_Jan,mean_tmin.c_Jan,mean_vp.pa_Jan,sum_prcp.mm_Jan,mean_dayl.s_Feb,mean_srad.wm2_Feb,mean_tmax.c_Feb,mean_tmin.c_Feb,mean_vp.pa_Feb,sum_prcp.mm_Feb,mean_dayl.s_Mar,mean_srad.wm2_Mar,mean_tmax.c_Mar,mean_tmin.c_Mar,mean_vp.pa_Mar,sum_prcp.mm_Mar,mean_dayl.s_Apr,mean_srad.wm2_Apr,mean_tmax.c_Apr,mean_tmin.c_Apr,mean_vp.pa_Apr,sum_prcp.mm_Apr,mean_dayl.s_May,mean_srad.wm2_May,mean_tmax.c_May,mean_tmin.c_May,mean_vp.pa_May,sum_prcp.mm_May,mean_dayl.s_Jun,mean_srad.wm2_Jun,mean_tmax.c_Jun,mean_tmin.c_Jun,mean_vp.pa_Jun,sum_prcp.mm_Jun,mean_dayl.s_Jul,mean_srad.wm2_Jul,mean_tmax.c_Jul,mean_tmin.c_Jul,mean_vp.pa_Jul,sum_prcp.mm_Jul,mean_dayl.s_Aug,mean_srad.wm2_Aug,mean_tmax.c_Aug,mean_tmin.c_Aug,mean_vp.pa_Aug,sum_prcp.mm_Aug,mean_dayl.s_Sep,mean_srad.wm2_Sep,mean_tmax.c_Sep,mean_tmin.c_Sep,mean_vp.pa_Sep,sum_prcp.mm_Sep,mean_dayl.s_Oct,mean_srad.wm2_Oct,mean_tmax.c_Oct,mean_tmin.c_Oct,mean_vp.pa_Oct,sum_prcp.mm_Oct,mean_dayl.s_Nov,mean_srad.wm2_Nov,mean_tmax.c_Nov,mean_tmin.c_Nov,mean_vp.pa_Nov,sum_prcp.mm_Nov,mean_dayl.s_Dec,mean_srad.wm2_Dec,mean_tmax.c_Dec,mean_tmin.c_Dec,mean_vp.pa_Dec,sum_prcp.mm_Dec
2014,DEH1,34681.64387096774,225.6,5.4,-6.2,425.4,67.4,37944.4,271.3646428571428,6.960357142857142,-2.8489285714285715,512.4232142857143,104.65,42277.62774193548,330.48645161290324,10.375806451612902,-0.6041935483870968,614.9870967741936,111.03,46902.960333333336,389.48566666666665,17.013333333333332,5.996333333333333,959.1716666666666,105.04,50798.95483870968,405.8874193548387,23.717741935483872,12.624516129032259,1483.4867741935484,75.39,52759.836,395.09133333333335,28.022,17.15566666666667,1993.703,31.64,51835.21161290322,369.63516129032257,29.00258064516129,19.08290322580645,2237.593870967742,151.58,48447.35612903226,382.5651612903226,27.869032258064514,17.713870967741936,2044.1309677419354,103.03,43969.59333333333,319.5276666666667,26.165666666666667,16.353666666666665,1911.7796666666666,131.48,39354.256129032256,275.5577419354839,20.995806451612903,10.826129032258065,1338.6409677419356,67.01,35493.57633333333,227.20133333333334,12.971666666666666,2.375,770.8836666666666,96.57,33631.367741935486,172.88290322580644,9.998064516129032,1.6503225806451614,706.9496774193549,107.8
2014,GAH1,36720.92451612903,262,12.1,-0.2,628.7,85.6,39186.4,316.7682142857143,17.747857142857143,4.882857142857143,898.83,117.48,42493.9864516129,373.18709677419355,19.15290322580645,5.789032258064516,943.1525806451613,146.10999999999999,46031.244333333336,381.78633333333335,24.197,11.543333333333333,1395.6996666666666,245.83999999999997,48987.36387096774,430.47483870967744,29.381290322580647,16.28322580645161,1879.6270967741937,136.85,50459.106,381.282,32.431666666666665,20.909,2476.6273333333334,65.34,49766.79,380.85483870967744,32.715806451612906,21.32032258064516,2545.932580645161,63.22,47207.06967741936,389.6077419354839,33.63258064516129,21.30548387096774,2507.047741935484,77.31,43789.10433333334,298.15933333333334,29.604333333333333,20.092333333333332,2372.688,159.13,40259.951290322584,373.7861290322581,26.3341935483871,12.278709677419355,1475.4887096774194,76.09,37331.556666666664,284.824,18.293666666666667,3.603666666666667,828.5516666666666,173.03,35934.32064516129,222.6348387096774,17.679354838709678,5.849677419354839,963.8380645161291,196.39
2014,IAH1,33574.33,217.1,-3.1,-16.1,199.6,7.2,37277.2,264.8275,-4.415,-16.431428571428572,195.48785714285714,48.46,42162.07548387097,377.6832258064516,4.974193548387097,-7.084193548387097,350.71612903225804,28.75,47369.83433333333,377.334,15.079666666666666,1.6393333333333333,650.3933333333333,171.71,51779.193225806455,398.551935483871,22.466129032258063,9.374516129032259,1239.9106451612904,102.97,54014.759666666665,363.276,26.477666666666668,15.471666666666668,1777.364,256.82,52958.88483870968,402.6141935483871,26.013870967741934,14.70258064516129,1696.6332258064517,82.56,49113.77225806451,322.56032258064516,26.815483870967743,16.97806451612903,1955.0393548387096,206.31,44065.975333333336,334.995,22.528,10.517,1312.126,128.11,38869.03129032258,268.36709677419356,16.804193548387097,4.410322580645161,857.3670967741936,88.51,34498.71566666666,201.36233333333334,3.6590000000000003,-6.923,407.485,24.89,32375.180322580643,149.81,1.3516129032258066,-5.438709677419355,447.03709677419357,36.29
2014,IAH2,33533.82129032258,216.3,-2.5,-16.5,192.8,5.1,37252.9,260.38428571428574,-3.957142857142857,-16.1975,187.63392857142858,33.87,42157.87870967742,386.53096774193546,5.452580645161291,-7.735806451612903,285.00290322580645,16.13,47386.814666666665,362.3863333333333,14.981333333333334,1.0306666666666666,562.4503333333333,93.35,51814.99806451613,401.94,22.59516129032258,8.89741935483871,1160.2509677419355,107.62,54060.756,351.45033333333333,26.41166666666667,15.3,1760.511,228.01,52999.99741935484,410.14096774193547,25.765806451612903,14.456774193548387,1669.282258064516,91.79,49138.04451612903,317.6532258064516,26.114193548387096,16.760967741935485,1928.6654838709678,244.21,44069.475333333336,336.2613333333333,22.394000000000002,10.174666666666667,1280.8993333333333,145.85999999999999,38851.379677419354,276.31935483870967,17.086451612903225,4.244193548387097,852.0325806451613,43.75,34462.371333333336,204.971,3.5456666666666665,-7.749333333333333,390.6363333333333,11.67,32329.137741935483,139.53032258064516,0.977741935483871,-5.7787096774193545,441.4225806451613,23.98
2014,IAH3,33574.33,209.3,-4.6,-16.9,189.2,12.7,37277.2,260.72714285714284,-6.084642857142857,-17.3125,181.08535714285713,46.91,42162.07548387097,375.47741935483873,4.150322580645161,-7.352903225806451,342.5345161290322,22.189999999999998,47369.83433333333,377.787,14.762333333333334,1.3043333333333333,640.5266666666666,160.46,51779.193225806455,413.9990322580645,22.231290322580644,8.908387096774193,1189.6641935483872,57.03,54014.759666666665,354.34233333333333,26.577,15.645333333333333,1800.08,288.7,52958.88483870968,402.90935483870965,25.810967741935485,14.36774193548387,1660.7625806451613,78.08,49113.77225806451,325.0664516129032,26.88225806451613,16.488709677419354,1895.9006451612904,139.13,44065.975333333336,356.297,22.618666666666666,9.872333333333334,1257.1946666666668,74.39,38869.03129032258,265.3964516129032,15.84,3.721935483870968,816.0503225806451,70.45,34498.71566666666,199.98933333333332,3.395,-6.988,400.84066666666666,21.93,32375.180322580643,147.53225806451613,1.346774193548387,-5.453548387096774,443.75548387096774,30.669999999999998
2014,IAH4,33833.60709677419,216.3,-3.1,-15.5,209.7,21.1,37432.9,271.07928571428573,-4.187857142857143,-15.896428571428572,209.54607142857142,64.35000000000001,42188.99612903226,378.5341935483871,5.744516129032258,-6.888064516129032,380.35225806451615,25.09,47260.973333333335,397.42966666666666,16.255666666666666,2.5116666666666667,707.7883333333333,124.21,51549.918387096775,399.2209677419355,23.258064516129032,10.23225806451613,1266.2012903225807,45.61,53720.509,355.7216666666667,27.52766666666667,16.430333333333333,1887.8453333333334,242.52,52695.73806451613,397.31709677419354,26.607096774193547,15.098709677419354,1735.4835483870968,89.96000000000001,48958.2335483871,331.25709677419354,27.58967741935484,17.50483870967742,2020.6793548387097,135.93,44043.521,368.1616666666667,23.654333333333334,10.543,1318.2966666666666,132.1,38982.180645161294,263.5783870967742,16.75258064516129,4.922258064516129,887.4896774193548,124.86,34731.435666666664,190.22966666666667,4.576333333333333,-5.750666666666667,433.80833333333334,52.43,32669.730967741936,159.72096774193548,2.643548387096774,-4.33,474.8296774193548,25.04
2014,ILH1,34219.54774193549,231.1,-1.9,-12.8,259.2,70.4,37665.3,296.69892857142855,-2.2357142857142858,-12.554285714285715,267.59285714285716,74.67999999999999,42229.224516129034,408.0425806451613,7.403225806451613,-4.70258064516129,450.8232258064516,35.89,47098.405,406.1836666666667,18.011,4.947333333333334,878.496,96.41,51208.35064516129,391.40419354838707,23.893870967741936,11.633870967741936,1398.208064516129,115.59,53282.983,345.106,28.156666666666666,17.532333333333334,2034.9803333333334,228.68,52304.082903225804,412.5141935483871,26.37741935483871,15.216774193548387,1750.7548387096774,172.31,48726.13032258065,344.04645161290324,27.775806451612905,17.64483870967742,2043.5716129032257,54.37,44009.96666666667,364.85366666666664,24.157333333333334,11.434666666666667,1402.747,97.54,39151.144838709675,249.6393548387097,17.407096774193548,6.518387096774194,997.4851612903226,113.16,35078.107,214.07933333333332,6.537,-3.921666666666667,491.1383333333333,62.36,33107.69741935484,151.47290322580645,3.6648387096774195,-2.552258064516129,527.0622580645161,49.22
2014,INH1,34086.18709677419,218.2,-3.1,-14.2,237.1,121.9,37584.9,298.61321428571426,-2.8635714285714284,-13.728214285714285,250.56392857142856,69.35,42215.30225806452,419.36709677419356,6.043225806451613,-6.040322580645161,411.32870967741934,43.36,47154.65,461.77133333333336,16.839333333333332,3.8293333333333335,821.5506666666666,108.51,51326.415483870966,380.21838709677417,23.16225806451613,10.650967741935483,1328.9606451612904,122.5,53434.104999999996,350.827,27.952333333333332,16.689666666666668,1938.5023333333334,153.58,52439.41129032258,416.2509677419355,25.981935483870966,14.035483870967742,1631.026129032258,74.95,48806.40935483871,341.2225806451613,27.60225806451613,16.24258064516129,1877.786129032258,195.21,44021.579666666665,355.864,23.686,10.557,1326.6026666666667,140.55,39092.68935483871,234.53806451612903,16.836129032258064,5.535483870967742,932.8558064516129,148.67000000000002,34958.281,199.068,6.045,-3.735666666666667,500.4576666666667,56.98,32956.423548387094,144.90290322580645,3.3238709677419354,-2.8925806451612903,513.5990322580645,52.12
2014,MNH1,32796.1564516129,182.8,-7.7,-20.5,144.3,29.5,36811.9,260.81464285714287,-8.548571428571428,-20.102857142857143,140.7564285714286,40.17,42081.813870967744,361.2138709677419,0.7406451612903225,-9.77,317.4041935483871,34.629999999999995,47694.75433333333,377.767,10.958,0.391,614.2583333333333,144.52,52466.32677419355,402.9793548387097,20.15,8.12483870967742,1139.001935483871,113.22,54899.560666666664,348.837,25.110333333333333,15.23,1754.2533333333333,264.74,53748.82548387097,398.318064516129,25.898709677419355,14.75290322580645,1708.3387096774193,26.68,49578.60870967742,338.1325806451613,26.966129032258063,16.08516129032258,1841.584193548387,126.73,44132.914666666664,316.551,21.685666666666666,10.131,1285.0976666666666,51.13,38531.26258064516,256.75709677419354,14.380322580645162,2.5319354838709676,748.6787096774193,32.94,33801.15666666667,177.66933333333333,0.22599999999999998,-9.345333333333333,349.71733333333333,23.66,31489.463548387095,128.66709677419354,-1.4112903225806452,-7.854838709677419,389.8758064516129,19.14
2014,MOH1,34609.142258064516,240.4,1.9,-11.1,289.6,41.6,37900.6,308.2917857142857,1.0592857142857144,-10.342857142857143,312.97214285714284,26.04,42270.017096774194,388.9741935483871,11.076129032258065,-3.63,447.11,30.580000000000002,46933.681333333334,359.663,17.918333333333333,5.867333333333333,962.34,175.01,50863.217419354834,394.41322580645163,24.216451612903224,12.245483870967742,1485.2316129032258,85.42999999999999,52841.86866666667,359.5903333333333,27.506333333333334,17.827,2067.124333333333,211.03,51908.77225806451,429.541935483871,27.824193548387097,16.287741935483872,1883.5696774193548,61.78,48491.15612903226,361.99290322580646,29.87290322580645,18.857741935483872,2199.5051612903226,83.92,43975.941,361.3953333333333,25.038333333333334,12.885,1528.5266666666666,160.08,39322.33225806452,263.0912903225807,18.72741935483871,7.64741935483871,1072.273870967742,242.26,35428.363,218.47933333333333,8.310333333333332,-2.662,537.557,22.94,33549.25322580645,157.4893548387097,5.163225806451613,-1.4858064516129033,570.9554838709678,47.660000000000004
2014,MOH2,34590.93322580645,238.1,2.3,-10.8,297.5,30.1,37889.6,303.8121428571429,1.3724999999999998,-10.098214285714286,319.6825,27,42268.10677419355,372.62387096774194,11.570645161290322,-3.2193548387096773,467.83935483870965,50.59,46941.39366666666,350.7323333333333,18.45,6.234,988.5813333333333,183.85,50879.35580645161,393.4003225806452,24.92225806451613,12.813225806451612,1550.0135483870968,52.92,52862.473,359.85133333333334,28.133,18.574333333333332,2166.3703333333333,173.78,51927.24612903226,425.14032258064515,28.416774193548388,16.953870967741935,1964.7216129032258,45.01,48502.152903225804,358.6290322580645,30.451612903225804,19.51258064516129,2291.8270967741937,135.57,43977.53566666666,357.79633333333334,25.611,13.379666666666667,1578.794,174.8,39314.31838709678,262.1190322580645,19.385161290322582,8.023548387096774,1101.88,262.25,35411.986,217.44166666666666,8.84,-2.3043333333333336,553.16,31.75,33528.62806451613,156.02064516129033,5.601935483870967,-1.1435483870967742,586.0416129032258,56.08
2014,NCH1,35678.07,245.6,10.7,-2.8,533.4,68.8,38549.3,282.3225,13.165714285714285,0.9214285714285715,675.8078571428572,89.67,42382.81741935484,347.7625806451613,15.128064516129033,1.6438709677419354,710.3380645161291,142.08,46478.78166666667,396.9413333333333,23.741333333333333,9.548,1225.023,119.72,49914.70548387097,416.3793548387097,28.22967741935484,15.765806451612903,1822.7506451612903,89.28999999999999,51634.159999999996,381.9626666666667,31.195,19.121666666666666,2250.690666666667,177,50824.40225806452,370.6332258064516,30.695483870967742,20.54935483870968,2438.4454838709676,237.04999999999998,47843.23903225806,382.02774193548385,29.753870967741936,19.91032258064516,2336.9587096774194,157.63,43881.846,305.95533333333333,27.532333333333334,18.795333333333332,2200.737,190.56,39795.012903225805,353.9177419354839,24.93967741935484,10.824516129032258,1340.2512903225806,33.510000000000005,36390.80133333334,243.15266666666668,15.839333333333332,2.9596666666666667,807.4093333333333,76.94,34758.14419354839,199.67612903225807,13.600967741935484,2.7661290322580645,767.7270967741936,96.52
2014,NEH1,33970.42032258065,233.1,1.9,-13.3,245.9,11.2,37515.2,277.8907142857143,0.8396428571428571,-11.781785714285714,253.75357142857143,15.43,42203.235483870965,404.62774193548387,10.72,-6.029354838709677,242.28806451612903,2.98,47203.41533333333,370.15933333333334,18.069,3.105,542.3346666666666,112.92,51428.874193548385,401.86806451612904,24.801612903225806,10.119354838709677,1245.6254838709679,134.01,53565.34533333333,359.6956666666667,28.414666666666665,16.277,1876.4816666666666,203.29,52556.89290322581,429.95612903225805,29.441290322580645,15.596774193548388,1815.7393548387097,12.9,48876.03290322581,318.5912903225806,29.313225806451612,17.870322580645162,2070.386129032258,180.88,44031.64466666667,347.315,24.546666666666667,11.599666666666666,1411.912,257.09999999999997,39042.00580645161,289.7177419354839,19.97258064516129,5.537419354838709,937.7683870967742,53.86,34854.29266666667,220.22433333333333,7.621666666666667,-5.936,439.27066666666667,13.020000000000001,32825.051612903226,143.9474193548387,3.345806451612903,-4.612258064516129,475.9070967741936,36.85
